;fid;date;values;trend
18765;5.0;2017-02-12;1.6568968326917717;1.3387529332634553
18766;5.0;2017-02-13;1.751134943461844;1.3393453447247679
18767;5.0;2017-02-14;1.8453730542319162;1.3399357311786106
18768;5.0;2017-02-15;1.9396111650019885;1.340523942461404
18769;5.0;2017-02-16;1.8487757623568177;1.3411098225872438
18770;5.0;2017-02-17;1.7579403597116472;1.3416932082548674
18771;5.0;2017-02-18;1.6671049570664764;1.3422739269891129
18772;5.0;2017-02-19;1.5762695544213057;1.3428517984090926
18773;5.0;2017-02-20;1.485434151776135;1.343426636717277
18774;5.0;2017-02-21;1.3945987491309644;1.34399825177826
18775;5.0;2017-02-22;1.3037633464857936;1.344566444382573
18776;5.0;2017-02-23;1.212927943840623;1.3451310008093864
18777;5.0;2017-02-24;1.1220925411954523;1.3456916903199487
18778;5.0;2017-02-25;1.0312571385502816;1.3462482667263285
18779;5.0;2017-02-26;1.1133066465953987;1.3468004706454932
18780;5.0;2017-02-27;1.1953561546405156;1.347348032117063
18781;5.0;2017-02-28;1.2774056626856327;1.3478906732511353
18782;5.0;2017-03-01;1.3278486452922225;1.3484281117817627
18783;5.0;2017-03-02;1.3782916278988122;1.3489600659670258
18784;5.0;2017-03-03;1.4287346105054022;1.3494862586466172
18785;5.0;2017-03-04;1.479177593111992;1.3500064168079466
18786;5.0;2017-03-05;1.5296205757185817;1.3505202702606385
18787;5.0;2017-03-06;1.5800635583251714;1.3510275508394507
18788;5.0;2017-03-07;1.6305065409317612;1.3515279912401301
18789;5.0;2017-03-08;1.680949523538351;1.352021326000656
18790;5.0;2017-03-09;1.731392506144941;1.3525073011705044
18791;5.0;2017-03-10;1.7818354887515306;1.3529856835657685
18792;5.0;2017-03-11;1.6930539684444665;1.3534562598178017
18793;5.0;2017-03-12;1.6042724481374024;1.353918832964645
18794;5.0;2017-03-13;1.5154909278303386;1.3543732189690645
18795;5.0;2017-03-14;1.4267094075232745;1.354819243218121
18796;5.0;2017-03-15;1.3379278872162104;1.3552567387695715
18797;5.0;2017-03-16;1.2491463669091463;1.3556855484877883
18798;5.0;2017-03-17;1.1603648466020822;1.3561055238585236
18799;5.0;2017-03-18;1.071583326295018;1.3565165227222975
18800;5.0;2017-03-19;0.9828018059879541;1.3569184071341545
18801;5.0;2017-03-20;0.8940202856808901;1.3573110399193586
18802;5.0;2017-03-21;0.9774734062105418;1.3576942774897338
18803;5.0;2017-03-22;1.0609265267401935;1.3580679630840942
18804;5.0;2017-03-23;1.144379647269845;1.3584319225844046
18805;5.0;2017-03-24;1.2278327677994967;1.3587859715737451
18806;5.0;2017-03-25;1.3112858883291485;1.3591299269581854
18807;5.0;2017-03-26;1.367753439590335;1.3594636227517325
